Exposure	Outcome	bxy	se	p	nsnp
7SK_GSMR	BDEP	0.00423269	0.00546207	0.438384	3
A1BG-AS1_GSMR	BDEP	nan	nan	nan	nan
A2M-AS1_GSMR	BDEP	0.0045666	0.0163219	0.779643	1
A3GALT2P_GSMR	BDEP	-0.0113706	0.00876691	0.194635	3
A4GALT_GSMR	BDEP	0.00619138	0.00408227	0.129354	10
A-575C2.4_GSMR	BDEP	0.00408433	0.00883714	0.643953	1
AACS_GSMR	BDEP	nan	nan	nan	nan
AAED1_GSMR	BDEP	0.00725196	0.0144576	0.615948	1
AAGAB_GSMR	BDEP	0.0051912	0.00357185	0.146123	10
AAMDC_GSMR	BDEP	nan	nan	nan	nan
AAMP_GSMR	BDEP	-0.0157476	0.0204488	0.441241	1
AANAT_GSMR	BDEP	nan	nan	nan	nan
AAR2_GSMR	BDEP	nan	nan	nan	nan
AARS2_GSMR	BDEP	-0.00416532	0.0207022	0.840541	1
AARSD1_GSMR	BDEP	0.0023945	0.0183216	0.896019	1
AARS_GSMR	BDEP	nan	nan	nan	nan
AASDH_GSMR	BDEP	-0.00159743	0.00338793	0.637279	8
AASDHPPT_GSMR	BDEP	0.00910914	0.0123555	0.460967	3
AASS_GSMR	BDEP	0.00313617	0.00540519	0.561769	5
AATK_GSMR	BDEP	-0.00350136	0.00329912	0.288553	5
ABAT_GSMR	BDEP	0.00154547	0.00446852	0.72945	13
ABCA10_GSMR	BDEP	-0.00955197	0.00816313	0.241947	3
ABCA11P_GSMR	BDEP	nan	nan	nan	nan
ABCA13_GSMR	BDEP	nan	nan	nan	nan
ABCA1_GSMR	BDEP	0.0096473	0.00778347	0.215176	8
ABCA3_GSMR	BDEP	0.0851866	0.037962	0.0248326	1
ABCA5_GSMR	BDEP	nan	nan	nan	nan
ABCA6_GSMR	BDEP	0.0569813	0.0340162	0.0939098	1
ABCA7_GSMR	BDEP	0.00665246	0.0142564	0.640766	1
ABCB1_GSMR	BDEP	0.0044028	0.0133325	0.741225	3
ABCB4_GSMR	BDEP	nan	nan	nan	nan
ABCB8_GSMR	BDEP	-0.00512594	0.0165643	0.756974	1
ABCB9_GSMR	BDEP	-0.0151251	0.00668926	0.023753	7
ABCC10_GSMR	BDEP	nan	nan	nan	nan
ABCC13_GSMR	BDEP	0.00112698	0.00694924	0.871169	8
ABCC1_GSMR	BDEP	0.00547138	0.00767023	0.475644	8
ABCC2_GSMR	BDEP	-0.00860475	0.0111281	0.439375	3
ABCC3_GSMR	BDEP	0.00306131	0.00258086	0.23556	13
ABCC4_GSMR	BDEP	0.000535762	0.00315988	0.865363	10
ABCC5_GSMR	BDEP	-0.00383025	0.0023633	0.105077	16
ABCC6_GSMR	BDEP	nan	nan	nan	nan
ABCD2_GSMR	BDEP	nan	nan	nan	nan
ABCD3_GSMR	BDEP	-0.00252244	0.00522882	0.629515	12
ABCD4_GSMR	BDEP	0.0391118	0.031938	0.220721	1
ABCF2_GSMR	BDEP	0.0087436	0.00678986	0.197835	1
ABCF3_GSMR	BDEP	0.0340831	0.0113748	0.00273214	5
ABCG1_GSMR	BDEP	nan	nan	nan	nan
ABCG2_GSMR	BDEP	nan	nan	nan	nan
ABHD10_GSMR	BDEP	0.00504294	0.0136641	0.712079	3
ABHD11_GSMR	BDEP	-0.0054067	0.00470396	0.250394	3
ABHD12B_GSMR	BDEP	nan	nan	nan	nan
ABHD12_GSMR	BDEP	-0.00417174	0.00854561	0.625427	6
ABHD13_GSMR	BDEP	nan	nan	nan	nan
ABHD14B_GSMR	BDEP	nan	nan	nan	nan
ABHD15_GSMR	BDEP	0.00432615	0.00599475	0.470506	7
ABHD16B_GSMR	BDEP	-0.00423037	0.0270409	0.875684	1
ABHD1_GSMR	BDEP	-0.0507824	0.021125	0.0162211	1
ABHD2_GSMR	BDEP	0.00283977	0.00762438	0.709551	6
ABHD3_GSMR	BDEP	nan	nan	nan	nan
ABHD4_GSMR	BDEP	0.0116589	0.014965	0.435935	3
ABHD5_GSMR	BDEP	-0.0245179	0.00831393	0.00318784	5
ABHD6_GSMR	BDEP	-0.00781031	0.0128165	0.542263	3
ABHD8_GSMR	BDEP	-0.021465	0.00982066	0.0288378	3
ABI1_GSMR	BDEP	-0.0231067	0.00941083	0.0140756	5
ABI3BP_GSMR	BDEP	-0.0364128	0.019707	0.0646447	1
ABI3_GSMR	BDEP	0.00317379	0.0258552	0.902303	1
ABL2_GSMR	BDEP	-0.00509931	0.0119916	0.670663	3
ABLIM1_GSMR	BDEP	-0.0182386	0.0118895	0.125028	3
ABLIM3_GSMR	BDEP	-0.000482878	0.0378263	0.989815	1
ABO_GSMR	BDEP	0.000228376	0.00244551	0.925597	11
ABP1_GSMR	BDEP	-0.00128926	0.00299304	0.666649	14
ABRACL_GSMR	BDEP	-0.00104239	0.00294826	0.723666	16
ABR_GSMR	BDEP	nan	nan	nan	nan
ABT1_GSMR	BDEP	-0.00527309	0.010628	0.619789	4
ABTB1_GSMR	BDEP	0.00154453	0.00385458	0.688642	12
ABTB2_GSMR	BDEP	0.0158395	0.0069487	0.0226378	6
AC000068.5_GSMR	BDEP	-1.82655e-05	0.00623354	0.997662	1
AC000078.5_GSMR	BDEP	nan	nan	nan	nan
AC000123.4_GSMR	BDEP	-0.00439145	0.00692909	0.526231	1
AC002116.7_GSMR	BDEP	0.00501136	0.0106337	0.637446	1
AC002306.1_GSMR	BDEP	nan	nan	nan	nan
AC002310.12_GSMR	BDEP	0.00507569	0.00630917	0.421112	3
AC002398.11_GSMR	BDEP	-0.00387529	0.00714488	0.587553	1
AC002398.13_GSMR	BDEP	0.000251478	0.0123362	0.983736	1
AC002456.2_GSMR	BDEP	nan	nan	nan	nan
AC002467.7_GSMR	BDEP	-0.00258112	0.00243411	0.288964	14
AC002480.3_GSMR	BDEP	0.00596553	0.00557167	0.284309	3
AC002511.1_GSMR	BDEP	0.0220399	0.014447	0.127116	1
AC002511.2_GSMR	BDEP	nan	nan	nan	nan
AC002511.3_GSMR	BDEP	0.0172752	0.011429	0.130656	1
AC003075.4_GSMR	BDEP	0.00557519	0.010648	0.600562	3
AC003090.1_GSMR	BDEP	-0.0121299	0.0165865	0.464588	1
AC003665.1_GSMR	BDEP	-0.0157041	0.0141238	0.266187	1
AC004017.1_GSMR	BDEP	nan	nan	nan	nan
AC004166.6_GSMR	BDEP	0.000211654	0.00502276	0.966388	3
AC004166.7_GSMR	BDEP	nan	nan	nan	nan
AC004231.2_GSMR	BDEP	-0.00240916	0.00317048	0.447331	5
AC004257.3_GSMR	BDEP	0.0309803	0.0139007	0.0258341	1
AC004381.6_GSMR	BDEP	0.0356057	0.0291981	0.222671	1
AC004466.1_GSMR	BDEP	-0.0226852	0.0147297	0.123537	1
AC004540.5_GSMR	BDEP	0.00325574	0.00593334	0.583199	1
AC004696.2_GSMR	BDEP	-0.00575005	0.00510904	0.260392	3
AC004791.2_GSMR	BDEP	-0.00388873	0.00254683	0.126789	11
AC004824.2_GSMR	BDEP	0.00267254	0.00244981	0.27531	7
AC004840.9_GSMR	BDEP	nan	nan	nan	nan
AC004893.10_GSMR	BDEP	0.000641226	0.00448117	0.886217	3
AC004893.11_GSMR	BDEP	nan	nan	nan	nan
AC004951.5_GSMR	BDEP	nan	nan	nan	nan
AC004967.7_GSMR	BDEP	-0.00304806	0.0100752	0.762247	1
AC004967.8_GSMR	BDEP	0.00301252	0.00554084	0.586652	3
AC004980.7_GSMR	BDEP	-0.00418357	0.0146337	0.774965	1
AC004985.12_GSMR	BDEP	nan	nan	nan	nan
AC005041.17_GSMR	BDEP	0.00172409	0.00319588	0.58956	3
AC005076.5_GSMR	BDEP	0.0136416	0.0144619	0.34554	1
AC005077.14_GSMR	BDEP	-0.00673546	0.00214216	0.00166521	9
AC005082.12_GSMR	BDEP	0.00303821	0.00238713	0.203107	8
AC005104.3_GSMR	BDEP	nan	nan	nan	nan
AC005154.6_GSMR	BDEP	-0.00200887	0.00249492	0.420713	7
AC005154.7_GSMR	BDEP	0.000723415	0.00461017	0.87531	3
AC005154.8_GSMR	BDEP	-0.00762396	0.00316844	0.0161187	7
AC005224.2_GSMR	BDEP	nan	nan	nan	nan
AC005253.2_GSMR	BDEP	0.0118342	0.0109275	0.278817	1
AC005255.3_GSMR	BDEP	0.00627907	0.0132517	0.63562	1
AC005306.3_GSMR	BDEP	0.00617102	0.00491958	0.209704	1
AC005307.3_GSMR	BDEP	-0.0400944	0.0305601	0.189525	1
AC005488.1_GSMR	BDEP	0.00223961	0.00255185	0.380138	10
AC005517.3_GSMR	BDEP	0.0350477	0.0266562	0.188576	1
AC005519.4_GSMR	BDEP	0.0129389	0.0072271	0.0734016	1
AC005532.5_GSMR	BDEP	-0.00124918	0.00320101	0.696355	6
AC005534.9_GSMR	BDEP	nan	nan	nan	nan
AC005562.1_GSMR	BDEP	nan	nan	nan	nan
AC005682.5_GSMR	BDEP	-0.00190451	0.00306371	0.534182	6
AC005682.6_GSMR	BDEP	0.000304348	0.00337578	0.928163	6
AC005789.11_GSMR	BDEP	nan	nan	nan	nan
AC005795.2_GSMR	BDEP	-0.00330183	0.0103801	0.750414	1
AC005841.1_GSMR	BDEP	0.014496	0.0105692	0.170209	1
AC006014.1_GSMR	BDEP	-0.0122703	0.01264	0.331674	1
AC006026.13_GSMR	BDEP	0.00129307	0.00235959	0.583688	10
AC006042.6_GSMR	BDEP	nan	nan	nan	nan
AC006111.1_GSMR	BDEP	0.0357928	0.0162083	0.0272237	1
AC006116.1_GSMR	BDEP	-0.00172427	0.0124729	0.89005	1
AC006129.1_GSMR	BDEP	-0.00248632	0.00797385	0.755185	1
AC006129.2_GSMR	BDEP	0.00939913	0.0123571	0.44688	1
AC006129.4_GSMR	BDEP	nan	nan	nan	nan
AC006160.5_GSMR	BDEP	-0.00215349	0.00616921	0.727036	1
AC006369.2_GSMR	BDEP	-0.00256435	0.00362355	0.479137	6
AC006465.3_GSMR	BDEP	nan	nan	nan	nan
AC006538.1_GSMR	BDEP	nan	nan	nan	nan
AC006547.13_GSMR	BDEP	nan	nan	nan	nan
AC006547.14_GSMR	BDEP	nan	nan	nan	nan
AC006942.4_GSMR	BDEP	-0.00456233	0.00782138	0.559682	1
AC006946.15_GSMR	BDEP	-0.00373636	0.00412609	0.365177	3
AC006953.1_GSMR	BDEP	-0.00516698	0.0112859	0.647076	1
AC006978.6_GSMR	BDEP	nan	nan	nan	nan
AC007000.11_GSMR	BDEP	0.0214441	0.013429	0.110298	1
AC007000.12_GSMR	BDEP	nan	nan	nan	nan
AC007036.6_GSMR	BDEP	nan	nan	nan	nan
AC007038.7_GSMR	BDEP	-0.017545	0.00848862	0.0387453	1
AC007228.11_GSMR	BDEP	-0.00255403	0.00361128	0.479419	3
AC007246.3_GSMR	BDEP	nan	nan	nan	nan
AC007256.5_GSMR	BDEP	0.0284049	0.0184554	0.123777	1
AC007278.2_GSMR	BDEP	0.00271476	0.00271699	0.317708	9
AC007278.3_GSMR	BDEP	0.00109703	0.00173948	0.528261	16
AC007283.5_GSMR	BDEP	-0.0023584	0.00618556	0.702999	3
AC007292.6_GSMR	BDEP	0.0185018	0.008377	0.0271997	1
AC007308.6_GSMR	BDEP	1.38574e-05	0.0079786	0.998614	1
AC007382.1_GSMR	BDEP	0.0275995	0.0147843	0.0619279	1
AC007383.4_GSMR	BDEP	0.0121867	0.00897437	0.174482	1
AC007386.2_GSMR	BDEP	-0.00781833	0.0210686	0.710571	1
AC007386.4_GSMR	BDEP	-0.00462428	0.00887179	0.602204	1
AC007390.5_GSMR	BDEP	-0.00301176	0.00331238	0.363222	7
AC007390.6_GSMR	BDEP	nan	nan	nan	nan
AC007395.4_GSMR	BDEP	-0.000625787	0.00261535	0.810893	6
AC007401.2_GSMR	BDEP	-0.00142495	0.00473591	0.763504	1
AC007620.3_GSMR	BDEP	-0.0170209	0.0157872	0.280971	1
AC007773.2_GSMR	BDEP	nan	nan	nan	nan
AC007879.2_GSMR	BDEP	0.0198511	0.007972	0.0127706	1
AC007879.5_GSMR	BDEP	nan	nan	nan	nan
AC007879.7_GSMR	BDEP	nan	nan	nan	nan
AC007880.1_GSMR	BDEP	-0.0300234	0.0151647	0.0477232	1
AC007950.1_GSMR	BDEP	nan	nan	nan	nan
AC007952.5_GSMR	BDEP	nan	nan	nan	nan
AC007970.1_GSMR	BDEP	-0.00031532	0.0108796	0.976878	1
AC008040.1_GSMR	BDEP	0.00384662	0.0142126	0.786661	1
AC008074.3_GSMR	BDEP	0.00176569	0.00305347	0.563091	5
AC008074.5_GSMR	BDEP	0.00223564	0.00412092	0.587468	3
AC008268.2_GSMR	BDEP	-0.00443116	0.00344615	0.198503	5
AC008280.5_GSMR	BDEP	-0.0136667	0.00947907	0.149365	1
AC008537.1_GSMR	BDEP	-0.00850911	0.007257	0.240981	1
AC008592.3_GSMR	BDEP	0.00291271	0.00280233	0.298625	5
AC008592.4_GSMR	BDEP	nan	nan	nan	nan
AC008746.12_GSMR	BDEP	nan	nan	nan	nan
AC008753.4_GSMR	BDEP	-0.0419685	0.0243865	0.0852552	1
AC008984.2_GSMR	BDEP	-0.00164917	0.00429144	0.700761	3
AC008984.6_GSMR	BDEP	-0.0157326	0.0114154	0.168143	1
AC008984.7_GSMR	BDEP	-0.00126892	0.00422012	0.763657	3
AC008993.5_GSMR	BDEP	-0.00800644	0.00966536	0.407464	1
AC009093.1_GSMR	BDEP	-0.00153236	0.00622959	0.805697	1
AC009133.12_GSMR	BDEP	-0.0402491	0.0146311	0.00594254	1
AC009133.17_GSMR	BDEP	0.00733027	0.0093933	0.435172	1
AC009299.3_GSMR	BDEP	-0.00465645	0.00242654	0.0549885	10
AC009403.2_GSMR	BDEP	0.00114698	0.00666504	0.863367	1
AC009404.2_GSMR	BDEP	-0.00895956	0.0102674	0.382871	3
AC009495.2_GSMR	BDEP	-0.00155624	0.0035771	0.66352	7
AC009506.1_GSMR	BDEP	0.00280456	0.00201417	0.163796	12
AC009784.3_GSMR	BDEP	-0.0231786	0.0200823	0.248427	1
AC009948.5_GSMR	BDEP	nan	nan	nan	nan
AC009950.1_GSMR	BDEP	0.02252	0.0151757	0.137821	1
AC009950.2_GSMR	BDEP	-0.0203355	0.0134138	0.129516	1
AC009951.1_GSMR	BDEP	0.0234687	0.0138385	0.0899048	1
AC009961.3_GSMR	BDEP	0.0118964	0.0037623	0.0015668	7
AC010150.1_GSMR	BDEP	-0.0140138	0.00811556	0.0842075	1
AC010226.4_GSMR	BDEP	-0.0128513	0.0168264	0.44501	1
AC010327.1_GSMR	BDEP	0.0102779	0.00882946	0.244404	1
AC010492.2_GSMR	BDEP	nan	nan	nan	nan
AC010525.4_GSMR	BDEP	2.19115e-07	0.00955581	0.999982	1
AC010536.1_GSMR	BDEP	nan	nan	nan	nan
AC010642.1_GSMR	BDEP	0.00162828	0.00618418	0.792322	3
AC010733.5_GSMR	BDEP	0.00543475	0.0106122	0.608566	1
AC010878.3_GSMR	BDEP	nan	nan	nan	nan
AC010883.5_GSMR	BDEP	nan	nan	nan	nan
AC010976.2_GSMR	BDEP	nan	nan	nan	nan
